"","state","year","at_least_hs_grad","High.2018"
"376","Louisiana",2016,83.8,7.56
"377","Maine",2016,91.9,7.82
"378","Maryland",2016,89.6,9.13
"379","Massachusetts",2016,90.1,10.43
"380","Michigan",2016,89.9,8.87
"381","Minnesota",2016,92.6,9.91
"382","Mississippi",2016,83,7.56
"383","Missouri",2016,88.8,7.98
"384","Montana",2016,92.9,8.4
"385","Nebraska",2016,90.7,9.39
"386","Nevada",2016,85.4,8.61
"387","New Hampshire",2016,92.6,7.56
"388","New Jersey",2016,88.9,8.74
"389","New Mexico",2016,84.6,7.82
"390","New York",2016,85.9,9.39
"391","North Carolina",2016,86.3,7.56
"392","North Dakota",2016,92,7.56
"393","Ohio",2016,89.5,8.45
"394","Oklahoma",2016,87.3,7.56
"395","Oregon",2016,90,10.17
"396","Pennsylvania",2016,89.5,7.56
"397","Rhode Island",2016,87,10.02
"398","South Carolina",2016,86,7.56
"399","South Dakota",2016,91.2,8.92
"400","Tennessee",2016,86,7.56
"401","Texas",2016,82.3,7.56
"402","Utah",2016,91.5,7.56
"403","Vermont",2016,91.9,10.02
"404","Virginia",2016,88.6,7.56
"405","Washington",2016,90.6,9.88
"406","West Virginia",2016,85.3,9.13
"407","Wisconsin",2016,91.4,7.56
"408","Wyoming",2016,92.4,7.56
"409","Alabama",2017,85.3,7.41
"410","Alaska",2017,92.4,10.01
"411","Arizona",2017,86.5,10.22
"412","Arkansas",2017,85.6,8.68
"413","California",2017,82.5,10.22
"414","Colorado",2017,91.1,9.5
"415","Connecticut",2017,90.2,10.32
"416","Delaware",2017,89.3,8.43
"417","District of Columbia",2017,90.3,11.75
"418","Florida",2017,87.6,8.27
"419","Georgia",2017,86.3,7.41
"420","Hawaii",2017,91.6,9.45
"421","Idaho",2017,90.2,7.41
"422","Illinois",2017,88.6,8.43
"423","Indiana",2017,88.3,7.41
"424","Iowa",2017,91.8,7.41
"425","Kansas",2017,90.5,7.41
"426","Kentucky",2017,85.2,7.41
"427","Louisiana",2017,84.3,7.41
"428","Maine",2017,92.1,9.19
"429","Maryland",2017,89.8,8.94
"430","Massachusetts",2017,90.3,11.24
"431","Michigan",2017,90.2,9.09
"432","Minnesota",2017,92.8,9.7
