State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,,,,
Washington,17.6,18.7,24.6,27.8,54,60.4,72.4,83.7,93.7,106.3,106.3,121.6,137,145,196.6,228.4,230.5,224.8,234.4,262.8,271,262,238.3,216.7,231.1,233.3,243.5,240.2,258.3,265.5,302.7,302.5,317.8,307.9,305.6,287.3,256.4,265,260.8,226.3,221.3,209.3,201.9,204,200,205.7,202.2,198.8,192.7,194,185,,,,
West Virginia,43.2,42.6,41.3,42.5,50.1,55.4,61.5,68.4,73.2,67.3,83.5,85.1,83.2,80.8,86.1,99.5,96.6,90.9,99.9,101.8,112.2,103.7,104.3,109.3,110,106.1,98.6,78.7,73.6,78.8,102.1,118.5,140,138.5,147.6,141.4,146.3,151.9,188.3,291,254.2,220.3,176.1,195.5,216.4,205.9,207.6,205.1,201.4,224.5,236.7,,,,
Wisconsin,19.6,18.5,16.9,18.1,27.4,29.5,29.2,35.9,39.2,43.1,44,46.4,48.6,53.3,59.9,64.5,63.5,63.7,65.2,86.1,94.1,100.2,101.9,98.1,111.1,115.6,161.9,160.2,124.5,123.4,126.7,127.7,125.3,121.4,129.7,148.4,131.1,145.5,139.9,137.6,127.3,124.1,112.8,115.5,112.5,135.2,160.8,168.5,161.2,150,145.9,,,,
Wyoming,44.5,42.6,17.8,32,53.9,43.2,45,67.6,60.6,51.6,73.1,117.4,96.2,160.9,81.6,127.5,157.2,173.9,201.7,272,313.5,347.4,233.7,180.2,194.7,210,243.4,229.6,272.4,208.6,251.1,263.9,262.9,231.3,218.9,199.8,196.9,205.4,199,186.2,217.5,207.8,222.1,215.1,192.3,188.3,208,204.1,196.4,171.8,154.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
