"","X","geo_id1","geo_id2","state","less_than_9th","X9th_to_12th","hs_grad","some_col","associates","bachelors","graduate","at_least_hs_grad","at_least_bachelors","poverty_less_than_hs_grad","poverty_hs_grad","poverty_some_college_assoc","poverty_at_least_bachelors","Abbreviation","year"
"365",365,"0400000US10",10,"Delaware",3.8,7.4,31.1,19.5,7.7,18.1,12.4,88.8,30.5,22.5,11.5,8,3.5,"DE",2016
"366",366,"0400000US11",11,"District of Columbia",4,6,18,13.5,3.1,23.4,32,90,55.4,34.8,24.3,17.3,5.5,"DC",2016
"367",367,"0400000US12",12,"Florida",5.2,7.6,29.2,20.6,9.6,17.8,10,87.2,27.9,27.7,15.9,11,6,"FL",2016
"368",368,"0400000US13",13,"Georgia",5.2,8.9,28.1,21,7.4,18.3,11.1,85.8,29.4,30.3,16.9,11.9,4.8,"GA",2016
"369",369,"0400000US15",15,"Hawaii",3.9,4.8,27.8,21.7,10.4,20.7,10.6,91.3,31.4,18.9,12.1,8.5,4.8,"HI",2016
"370",370,"0400000US16",16,"Idaho",3.8,6.2,27.6,26.8,9.3,17.9,8.4,90,26.2,23.4,14.3,11,5.3,"ID",2016
"371",371,"0400000US17",17,"Illinois",5.3,6.4,26.5,21.1,7.8,20.2,12.7,88.3,32.9,24.5,13.7,10.2,4.5,"IL",2016
"372",372,"0400000US18",18,"Indiana",3.9,8,34.2,20.8,8.4,15.7,8.9,88.1,24.6,26.2,12.2,10.3,4.1,"IN",2016
"373",373,"0400000US19",19,"Iowa",3.2,5.1,31.9,21.4,11.3,18.4,8.7,91.7,27.2,22.6,10.8,8.6,3.5,"IA",2016
"374",374,"0400000US20",20,"Kansas",3.8,5.9,26.6,23.9,8.1,20.2,11.4,90.3,31.6,23.8,12.7,9.4,3.5,"KS",2016
"375",375,"0400000US21",21,"Kentucky",6.4,8.9,33.3,20.8,7.8,13.4,9.3,84.6,22.7,32.9,16.6,12.7,4.5,"KY",2016
"376",376,"0400000US22",22,"Louisiana",5.6,10.6,33.9,21.3,5.7,15.1,7.9,83.8,23,32.1,17,12.9,5,"LA",2016
"377",377,"0400000US23",23,"Maine",2.9,5.2,33.2,19.7,9.7,18.9,10.5,91.9,29.3,27.3,14.8,10.1,4.2,"ME",2016
"378",378,"0400000US24",24,"Maryland",4.1,6.3,25.4,19.4,6.4,20.7,17.7,89.6,38.4,20.6,10.9,7.5,3.1,"MD",2016
"379",379,"0400000US25",25,"Massachusetts",4.7,5.3,25.1,16,7.7,23.1,18.2,90.1,41.2,25,12.2,8.9,4.3,"MA",2016
"380",380,"0400000US26",26,"Michigan",3.1,7,29.6,23.8,9.1,16.7,10.7,89.9,27.4,29.6,15.1,11.4,4.5,"MI",2016
"381",381,"0400000US27",27,"Minnesota",3.1,4.3,25.7,21.7,11,22.8,11.5,92.6,34.2,25.2,10.9,7.8,3.1,"MN",2016
"382",382,"0400000US28",28,"Mississippi",5.8,11.2,30.4,22.8,8.7,13.1,7.9,83,21,34,20.1,14.4,5.4,"MS",2016
"383",383,"0400000US29",29,"Missouri",3.6,7.6,31.1,22.5,7.6,17.2,10.4,88.8,27.6,28.2,13.8,10.9,4.3,"MO",2016
"384",384,"0400000US30",30,"Montana",2,5.1,29.8,24.5,8.7,20.2,9.8,92.9,29.9,25.1,14.3,12,5.3,"MT",2016
"385",385,"0400000US31",31,"Nebraska",4.1,5.2,27,23.6,10.1,20.1,9.9,90.7,30,24.8,10.9,8.6,3.5,"NE",2016
"386",386,"0400000US32",32,"Nevada",6.1,8.5,28.3,26,7.9,15.3,7.9,85.4,23.2,22.3,13.7,10.3,5.8,"NV",2016
"387",387,"0400000US33",33,"New Hampshire",2.4,5.1,28.4,19,9.8,22.1,13.4,92.6,35.5,17.7,8.8,6.9,3.2,"NH",2016
"388",388,"0400000US34",34,"New Jersey",5.2,5.9,28.2,16.8,6.4,23.1,14.4,88.9,37.5,22.3,11.5,8,3.6,"NJ",2016
"389",389,"0400000US35",35,"New Mexico",6.8,8.6,26.4,23.5,8.1,15,11.6,84.6,26.7,34.3,18.8,15.1,6.4,"NM",2016
