"","X","geo_id1","geo_id2","state","less_than_9th","X9th_to_12th","hs_grad","some_col","associates","bachelors","graduate","at_least_hs_grad","at_least_bachelors","poverty_less_than_hs_grad","poverty_hs_grad","poverty_some_college_assoc","poverty_at_least_bachelors","Abbreviation","year","x.rfbmi5","se"
"66",66,"0400000US18",18,"Indiana",4.3,9.5,36.2,20.3,7.3,14.3,8.1,86.2,22.4,22.7,10.4,8.1,3.3,"IN",2010,0.664586925949986,0.0076255648578262
"67",67,"0400000US19",19,"Iowa",4,6.1,34.4,21.4,9.7,17,7.5,89.9,24.5,20.6,9,7.5,3,"IA",2010,0.662088473342965,0.00914663046858035
"68",68,"0400000US20",20,"Kansas",4.2,6.6,28.9,23.7,7.3,19.3,10.1,89.2,29.3,23.4,10.7,7.7,3.1,"KS",2010,0.645457610189329,0.00772350409338972
"69",69,"0400000US21",21,"Kentucky",8.2,10.8,34.4,19.6,6.6,12.1,8.2,81,20.3,31,14,10.1,3.6,"KY",2010,0.675328535045302,0.00965952506484458
"70",70,"0400000US22",22,"Louisiana",6.9,12.2,34.8,20.5,4.8,14,6.9,81,20.9,28.5,14.3,10,4.1,"LA",2010,0.664666689382475,0.00875213673193546
"71",71,"0400000US23",23,"Maine",3.8,6.4,35.2,19.2,8.9,17.2,9.4,89.8,26.5,25.1,11.9,8.4,3.7,"ME",2010,0.636540586612167,0.00775537574674731
"72",72,"0400000US24",24,"Maryland",4.4,7.8,26.4,19.3,6.3,19.8,16,87.8,35.7,18.4,8.7,5.5,2.5,"MD",2010,0.660407436507916,0.00815383946679261
"73",73,"0400000US25",25,"Massachusetts",4.9,6.4,26.7,16,7.6,21.9,16.4,88.7,38.3,23.3,10.3,7.4,3.6,"MA",2010,0.60098124676371,0.0064613032085678
"74",74,"0400000US26",26,"Michigan",3.5,8.4,31.5,23.4,8.1,15.5,9.6,88,25,25.8,13.1,9.7,3.8,"MI",2010,0.667844735788663,0.0076005329814521
"75",75,"0400000US27",27,"Minnesota",3.6,5.1,27.8,22.4,9.7,21.3,10.1,91.3,31.4,23.7,9.9,6.7,2.8,"MN",2010,0.631133030635251,0.0104564696706981
"76",76,"0400000US28",28,"Mississippi",7.2,13.2,30.9,21.7,7.6,12.6,6.8,79.6,19.5,32.4,17.1,11.9,4.5,"MS",2010,0.687557741755341,0.0086548743094363
"77",77,"0400000US29",29,"Missouri",4.7,9.2,32.6,22,6.6,15.8,9.2,86.2,25,25.2,11.7,8.7,3.6,"MO",2010,0.657843819838183,0.0115628601217706
"78",78,"0400000US30",30,"Montana",3,6.1,31.2,24,7.9,19.2,8.6,91,27.9,23.7,12.4,10.4,5.2,"MT",2010,0.612943910621113,0.01058033010285
"79",79,"0400000US31",31,"Nebraska",4.1,5.9,29.6,23.7,9,18.9,8.8,90,27.7,21.6,9.9,7.7,3.1,"NE",2010,0.648801808970703,0.00869494949031287
"80",80,"0400000US32",32,"Nevada",6.3,9.4,29.7,25.5,7.3,14.4,7.4,84.3,21.8,18.1,9.7,7.5,4.4,"NV",2010,0.602062096561119,0.0140488053841033
"81",81,"0400000US33",33,"New Hampshire",2.9,6.2,29.7,18.8,9.5,21,11.9,90.9,32.9,16.3,7.8,5.9,2.6,"NH",2010,0.631289578717318,0.00898003847639771
"82",82,"0400000US34",34,"New Jersey",5.5,7.2,29.8,16.7,6.2,21.6,13,87.3,34.6,18.9,8.8,5.9,2.8,"NJ",2010,0.615429101370374,0.00714948242573808
"83",83,"0400000US35",35,"New Mexico",7.8,9.5,27,23.1,7.2,14.6,10.8,82.7,25.5,31.3,15.6,11.2,4.9,"NM",2010,0.606983266484961,0.00965420733758356
"84",84,"0400000US36",36,"New York",7,8.6,28.2,15.9,8.2,18.3,13.8,84.4,32.1,26.6,12.7,9,4.6,"NY",2010,0.614703379247065,0.00711146522691748
"85",85,"0400000US37",37,"North Carolina",6.1,10.3,28.2,20.9,8.3,17.4,8.7,83.6,26.1,27.5,13.4,9.3,3.4,"NC",2010,0.65330075019531,0.00760815043230244
"86",86,"0400000US38",38,"North Dakota",5.6,5,28.1,23.1,11.9,19.4,6.9,89.4,26.3,22,10.2,7.6,3.7,"ND",2010,0.647660274277759,0.0111252938527675
"87",87,"0400000US39",39,"Ohio",3.4,9.2,35.8,20.1,7.3,15.3,8.8,87.4,24.1,24.7,11.5,9.3,3.6,"OH",2010,0.657053932182008,0.00789206734426552
"88",88,"0400000US40",40,"Oklahoma",4.8,9.8,32.6,23.5,6.7,15.2,7.4,85.4,22.6,25.8,14.2,9.8,4,"OK",2010,0.672173366115645,0.00769985383461946
"89",89,"0400000US41",41,"Oregon",4.3,7.2,25.6,26.3,8.1,18.3,10.4,88.6,28.6,23.2,12.7,10.2,5.1,"OR",2010,0.609175113613411,0.0107554979287149
"90",90,"0400000US42",42,"Pennsylvania",4,8.6,37.8,15.9,7.3,16.3,10.1,87.4,26.4,22.3,10.5,7.6,3.4,"PA",2010,0.657284739417115,0.00682370526242241
"91",91,"0400000US44",44,"Rhode Island",7,9.4,28.2,17.5,7.6,18.5,11.9,83.7,30.3,21.9,10.4,7,3.7,"RI",2010,0.635440940626723,0.00985507233406002
"92",92,"0400000US45",45,"South Carolina",5.9,11.1,31.2,19.5,8.3,15.5,8.4,83,24,28.8,14.2,9,3.6,"SC",2010,0.674141790092166,0.00976930915820562
"93",93,"0400000US46",46,"South Dakota",4.9,5.8,32.7,21.7,9.5,18,7.3,89.3,25.3,26.8,11.5,8.5,3.7,"SD",2010,0.657134134516047,0.00988338045617175
"94",94,"0400000US47",47,"Tennessee",6.8,10.7,33.4,20.4,6,14.7,8,82.5,22.7,28.3,14,9.1,3.7,"TN",2010,0.677735973680966,0.0105016447461592
"95",95,"0400000US48",48,"Texas",10,10,26,22,6.3,17.3,8.5,80,25.8,27.6,13.6,8.6,3.8,"TX",2010,0.665502125025901,0.00754744389246281
"96",96,"0400000US49",49,"Utah",3.2,6.2,24.8,27.1,9.2,19.9,9.5,90.6,29.4,20.2,9.4,7,4,"UT",2010,0.57710870775292,0.00802369397445942
"97",97,"0400000US50",50,"Vermont",3.3,6.2,32,16.8,8.4,20.2,13.1,90.6,33.3,22.4,9.7,7.9,4,"VT",2010,0.584433950421599,0.00874868932048772
"98",98,"0400000US51",51,"Virginia",5.5,8.4,26,19.6,6.7,19.9,13.9,86.1,33.8,21.3,9.6,6.2,2.5,"VA",2010,0.612681366257366,0.0162662390624219
"99",99,"0400000US53",53,"Washington",4.1,6.4,24.3,24.9,9.4,20,11,89.6,31,23.5,11.1,8.5,3.9,"WA",2010,0.618383398276402,0.0056014095330576
"100",100,"0400000US54",54,"West Virginia",6.8,11.3,41.3,17.6,5.8,10.6,6.7,81.9,17.3,28.5,13.5,10.2,4,"WV",2010,0.678984332932588,0.00987738087027456
"101",101,"0400000US55",55,"Wisconsin",3.7,6.9,34,20.6,9,17.1,8.6,89.4,25.8,21.3,9.4,7,3,"WI",2010,0.636367993101019,0.0115719120381427
"102",102,"0400000US56",56,"Wyoming",2.7,5.9,31.3,26.7,9.8,15.7,7.8,91.3,23.6,17.9,8.6,6.1,3.1,"WY",2010,0.637787314390229,0.00942411956015616
"103",103,"0400000US01",1,"Alabama",6.1,12,31.4,21.5,7,14,8,81.9,22,28.6,14.6,10.4,3.6,"AL",2011,NA,NA
"104",104,"0400000US02",2,"Alaska",3.2,5.4,27.2,28.9,8,17.7,9.5,91.4,27.2,16.9,10.6,5.9,2.5,"AK",2011,NA,NA
"105",105,"0400000US04",4,"Arizona",6.6,8.2,24.7,26,8.1,16.8,9.6,85.2,26.4,28.7,14.1,9.5,4.5,"AZ",2011,NA,NA
"106",106,"0400000US05",5,"Arkansas",6.7,10.7,35.2,21.9,5.9,13,6.6,82.7,19.6,27.6,14.8,11.6,3.8,"AR",2011,NA,NA
"107",107,"0400000US06",6,"California",10.4,8.8,21.1,21.8,7.7,19.3,11,80.8,30.2,23.3,13.3,8.9,4.5,"CA",2011,NA,NA
